barcode,item,new_desc,price,source
1302147,1302147,Earth Leakage Power Pack Device - 10 A,79.5,https://www.wagneronline.com.au/portable-rcd-safety-power-cube-rv-10a-15a/ac-power-rcd/power-electrical/power-lighting/ur100-rv-107446/963195/pd/
1302149,1302149,Earth Leakage Power Pack Device - 10 A,79.5,https://www.wagneronline.com.au/portable-rcd-safety-power-cube-rv-10a-15a/ac-power-rcd/power-electrical/power-lighting/ur100-rv-107446/963195/pd/
1302153,1302153,Earth Leakage Power Pack Device - 15 A,79.95,https://www.wagneronline.com.au/PORTABLE-RCD-SAFETY-POWER-CUBE-15A/power-rcd-range/powerboards-accessories-apr-2025/new-products/UR115-R-107447/994705/pd/
1302155,1302155,Earth Leakage Power Pack Device - 15 A,79.95,https://www.wagneronline.com.au/PORTABLE-RCD-SAFETY-POWER-CUBE-15A/power-rcd-range/powerboards-accessories-apr-2025/new-products/UR115-R-107447/994705/pd/
1302156,1302156,Earth Leakage Power Pack Device - 15 A,79.95,https://www.wagneronline.com.au/PORTABLE-RCD-SAFETY-POWER-CUBE-15A/power-rcd-range/powerboards-accessories-apr-2025/new-products/UR115-R-107447/994705/pd/
1302157,1302157,Earth Leakage Power Pack Device - 15 A,79.95,https://www.wagneronline.com.au/PORTABLE-RCD-SAFETY-POWER-CUBE-15A/power-rcd-range/powerboards-accessories-apr-2025/new-products/UR115-R-107447/994705/pd/
EXTNLEAD240V15A-0325,EXTNLEAD240V15A-0325,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V15A-0386,EXTNLEAD240V15A-0386,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V15A-0126,EXTNLEAD240V15A-0126,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V15A-0194,EXTNLEAD240V15A-0194,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V15A-0078,EXTNLEAD240V15A-0078,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V15A-0237,EXTNLEAD240V15A-0237,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V15A-0890E,EXTNLEAD240V15A-0890,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V15A-0071,EXTNLEAD240V15A-0071,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V15A-0299,EXTNLEAD240V15A-0299,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V10A-0534,EXTNLEAD240V10A-0534,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V15A-0346,EXTNLEAD240V15A-0346,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V10A-0413,EXTNLEAD240V10A-0413,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0499,EXTNLEAD240V10A-0499,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0206,EXTNLEAD240V10A-0206,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0290,EXTNLEAD240V10A-0290,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0623,EXTNLEAD240V10A-0623,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0593,EXTNLEAD240V10A-0593,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0756,EXTNLEAD240V10A-0756,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
